Gene,Index
EFCC1,1198
METTL8,1199
NAA40,1200
ZMYM1,1201
KDM8,1202
QSER1,1203
GEMIN6,1204
PEAK1,1205
LONRF3,1206
PIP4K2C,1207
TMC5,1208
CCDC102B,1209
ARHGEF5,1210
NHEJ1,1211
AGBL2,1212
ZBTB3,1213
FAM124B,1214
ZDHHC11,1215
RNF122,1216
CFAP69,1217
MFSD13A,1218
CSPP1,1219
PDZD3,1220
EPHX3,1221
TM4SF20,1222
LINC00115,1223
NEK11,1224
TUBAL3,1225
ZNF669,1226
RBFA,1227
JHY,1228
TREML2,1229
BORA,1230
TCTN2,1231
ALG13,1232
CPSF7,1233
BAALC,1234
RPAP2,1235
CBLL1,1236
NUDT18,1237
RABEP2,1238
THSD4,1239
UBA5,1240
DCAKD,1241
CCDC134,1242
ZNF212,1243
ZC3H14,1244
PODNL1,1245
MAP9,1246
HDAC11,1247
CAAP1,1248
PLBD1,1249
LPCAT1,1250
RIN3,1251
ZNF671,1252
MCMBP,1253
GGNBP2,1254
ZNF672,1255
ATP8B4,1256
THNSL1,1257
ZNF613,1258
PRR5L,1259
CALCR,1260
CYBRD1,1261
NUP85,1262
NAA60,1263
TMC7,1264
MORN1,1265
BTNL8,1266
TUSC3,1267
PYROXD1,1268
ACTR5,1269
ATAD5,1270
MAGIX,1271
SETD6,1272
MAB21L4,1273
TCEAL4,1274
MRM1,1275
NANOG,1276
ADM2,1277
FAM110D,1278
MAP6D1,1279
DOK3,1280
TNIP3,1281
KIAA0319L,1282
SYNPO2L,1283
COQ8B,1284
CNTD2,1285
SLC35E1,1286
KAT6A,1287
LINC00472,1288
ZNF696,1289
L2HGDH,1290
C10orf95,1291
DHDDS,1292
PLPPR3,1293
PLEKHS1,1294
SYNDIG1,1295
NOL10,1296
PDZD7,1297
ERMP1,1298
PAQR6,1299
DENND1C,1300
CEP76,1301
JADE1,1302
DENND2D,1303
DNAJC22,1304
ABCA11P,1305
SCD5,1306
WDR76,1307
ATAT1,1308
ZNF767P,1309
WLS,1310
ZNF442,1311
CPED1,1312
GRHL2,1313
TRMT2B,1314
DSN1,1315
FRMD1,1316
DNAJB14,1317
POF1B,1318
ZNF702P,1319
SVEP1,1320
TTC26,1321
PLEKHH3,1322
STN1,1323
ANKRD53,1324
CALD1,1325
PSCA,1326
GREB1L,1327
PCNX2,1328
ESRP2,1329
DOCK5,1330
TRAPPC13,1331
C10orf88,1332
TMEM156,1333
GLRA3,1334
RMI1,1335
PHC3,1336
MINDY3,1337
WWC2,1338
DGLUCY,1339
UBTD1,1340
FOXRED2,1341
TMEM62,1342
MYO15B,1343
NRSN2,1344
SLC8B1,1345
PANK2,1346
FBXL18,1347
SEMA6D,1348
ZNF556,1349
CSRNP3,1350
TRPM3,1351
GPR157,1352
PGAP1,1353
LRRTM4,1354
ATF7IP2,1355
DCAF17,1356
LINC00574,1357
ADAMTS20,1358
CCDC15,1359
HEXA-AS1,1360
TUBA4B,1361
ZNF606,1362
C7orf69,1363
ZFP2,1364
ZNF614,1365
C3orf36,1366
BICC1,1367
BAIAP2L2,1368
ARL14,1369
MAP3K19,1370
VCPIP1,1371
CCDC33,1372
BBOF1,1373
TRIM46,1374
CCDC170,1375
NR4A3,1376
LRRC8E,1377
MROH9,1378
RPF1,1379
PTGES2,1380
SIKE1,1381
FRAS1,1382
THOC7,1383
UXS1,1384
ZC3H12A,1385
ASRGL1,1386
CENPT,1387
EDC3,1388
NAA15,1389
CWH43,1390
ASMTL-AS1,1391
PGGHG,1392
PRR36,1393
ABHD18,1394
MOGAT2,1395
CTC1,1396
IFT74,1397
DBF4B,1398
SPSB1,1399
MYCT1,1400
TEDC2,1401
MYO19,1402
RUBCNL,1403
CEP290,1404
TTI2,1405
BRD3,1406
TMEM134,1407
TMEM254,1408
RNF34,1409
MUS81,1410
FUZ,1411
HKDC1,1412
FBXO11,1413
CHD9,1414
FHOD3,1415
OPA3,1416
SPG11,1417
PROSER1,1418
NUP214,1419
ARMC9,1420
CCDC92,1421
TM2D3,1422
ALPK1,1423
CFAP43,1424
NAA50,1425
COQ10B,1426
LHX3,1427
ACSF2,1428
TARS2,1429
RAB11FIP1,1430
NUBPL,1431
PAAF1,1432
ORAI2,1433
RUFY1,1434
CXorf21,1435
WDR26,1436
FAAP100,1437
PIGZ,1438
PREX2,1439
CEP63,1440
SLC35F5,1441
FAM214B,1442
EFHC2,1443
C16orf70,1444
TRIM45,1445
ZNF430,1446
EDEM3,1447
STAM,1448
ITPKC,1449
GRPEL1,1450
CDK5RAP3,1451
MLLT10,1452
CUBN,1453
CCDC6,1454
PLEKHO2,1455
EFHD1,1456
WDCP,1457
TRABD,1458
MED28,1459
FLAD1,1460
NCOA4,1461
PDGFD,1462
PPP1R2C,1463
ZKSCAN3,1464
CXXC4,1465
CEP70,1466
CCDC68,1467
PUS1,1468
ULBP2,1469
ULBP1,1470
WDR82,1471
PNPLA3,1472
SLC25A16,1473
TRAF3IP3,1474
DCAF11,1475
ZSCAN16,1476
REEP4,1477
COASY,1478
WDR61,1479
LPAL2,1480
TNKS2,1481
RNF39,1482
SHOC2,1483
ADAM12,1484
PDCD1LG2,1485
RASSF7,1486
CSRP3,1487
PDHX,1488
FOSL1,1489
CUL5,1490
UBXN6,1491
SLC19A3,1492
TSGA10,1493
SLC35G2,1494
ACAD10,1495
PTP4A2,1496
SLC44A4,1497
VWA7,1498
MPIG6B,1499
FGF23,1500
LY6G6C,1501
LY6G5C,1502
PRR3,1503
THUMPD2,1504
TSEN2,1505
AARSD1,1506
TMEM121,1507
PRR7,1508
MFAP5,1509
ITIH5,1510
NDFIP1,1511
SPX,1512
THAP7,1513
STARD5,1514
CPTP,1515
LIMD2,1516
TMEM177,1517
B9D2,1518
CYB5B,1519
ZNF34,1520
USP5,1521
COL18A1,1522
INTS5,1523
MLF2,1524
CALM3,1525
SSPN,1526
BHLHB9,1527
APOL6,1528
APOL5,1529
APOL3,1530
KMT2D,1531
KDM7A,1532
AAAS,1533
ZNRD1ASP,1534
FXR1,1535
YEATS4,1536
ILKAP,1537
NPL,1538
HMGA2,1539
ALX1,1540
TMPRSS5,1541
CDK2AP1,1542
ACTN4,1543
CALML3,1544
IFT88,1545
TUBB1,1546
WNT5B,1547
ZBP1,1548
SLC2A10,1549
KCNH6,1550
SLC25A32,1551
COLEC12,1552
CALR,1553
DPF3,1554
GPR68,1555
TCL1A,1556
AP3B2,1557
PWAR5,1558
ANP32A,1559
ST8SIA2,1560
OR51E2,1561
CALU,1562
NPRL3,1563
GAN,1564
CAMK4,1565
SLC7A5,1566
TAF15,1567
PTDSS2,1568
GPR63,1569
RSPH6A,1570
SYNC,1571
CFHR5,1572
CAMK2A,1573
DCSTAMP,1574
RND2,1575
ITFG1,1576
SGPP1,1577
SLC38A1,1578
TMX1,1579
LRRC3,1580
GDPD5,1581
FBXO38,1582
TDRD3,1583
STMN4,1584
VOPP1,1585
RCC1L,1586
YIPF5,1587
INTS14,1588
FAM117A,1589
LMAN2L,1590
C1orf21,1591
NDEL1,1592
CSRNP2,1593
ACTL8,1594
CLPB,1595
MIR600HG,1596
APOLD1,1597
CCDC130,1598
GFOD2,1599
COL21A1,1600
PLA2G12A,1601
CAMK2B,1602
CDADC1,1603
TRIM8,1604
URM1,1605
LBH,1606
FIP1L1,1607
SNX27,1608
COIL,1609
ANP32E,1610
NIPA2,1611
ACSBG2,1612
CAB39L,1613
ITM2C,1614
TSPAN14,1615
CDT1,1616
KAZALD1,1617
UNC93B1,1618
DEFB126,1619
DIAPH3,1620
SHCBP1L,1621
TRMT1L,1622
TSC22D4,1623
MAP1LC3B,1624
AKAP1,1625
CCNL2,1626
C6orf62,1627
ISCA1,1628
REXO5,1629
AMN,1630
OR2B2,1631
SLC14A2,1632
MADCAM1,1633
SF3A2,1634
ELL,1635
RNF170,1636
ADAMTS12,1637
SLCO5A1,1638
OR12D3,1639
CAMK2G,1640
NETO2,1641
SPACA1,1642
VANGL1,1643
RNF146,1644
SPRY4,1645
ST6GALNAC5,1646
KRTAP1-3,1647
KRTAP1-1,1648
TMEM14B,1649
ZNF205-AS1,1650
SFXN3,1651
ZNF611,1652
MED25,1653
SHARPIN,1654
ZNF239,1655
KRTAP9-9,1656
ARPC5L,1657
ISG20L2,1658
RAB1B,1659
LAS1L,1660
HYI,1661
SYMPK,1662
QTRT1,1663
SLIRP,1664
SLC25A28,1665
CAMLG,1666
MIA,1667
CLPP,1668
ABHD17A,1669
SEH1L,1670
DPF1,1671
KIF18A,1672
ZNF93,1673
HDHD3,1674
MKKS,1675
CAMP,1676
GDF5,1677
NCOA3,1678
NRIP1,1679
CHAF1B,1680
GATD3A,1681
CANX,1682
LZTR1,1683
CLTCL1,1684
CAPG,1685
SYN3,1686
PUDP,1687
AKAP17A,1688
PNPLA4,1689
CAPN1,1690
ZRSR2,1691
USP11,1692
USP9X,1693
CAPN2,1694
RBM10,1695
KDM5C,1696
SMC1A,1697
CAPN3,1698
CAPNS1,1699
