TF,Target
ETS1,LRP8
ETS1,OSBP
ETS1,ASTN2
ETS1,TCTN2
ETS1,DBNDD1
ETS1,ST3GAL4
ETS1,CBX5
ETS1,NDUFS8
ETS1,BDH2
ETS1,CADM1
ETS1,PSMA1
ETS1,PSAP
ETS1,FOXJ1
ETS1,TTLL1
ETS1,IARS2
ETS1,SIX1
ETS1,PLLP
ETS1,PAM16
ETS1,IL11RA
ETS1,OFD1
ETS1,UBE2D4
ETS1,DDIT3
ETS1,COX15
ETS1,FRG1
ETS1,PIP5K1A
ETS1,GTF3C4
ETS1,NBR1
ETS1,SLC35A5
ETS1,NDUFA5
ETS1,LAGE3
ETS1,GGPS1
ETS1,TOM1
ETS1,POLR3K
ETS1,RHOT1
ETS1,DCUN1D4
ETS1,TP73-AS1
ETS1,ZSCAN16
ETS1,LGALS8
ETS1,TMEM41B
ETS1,ATP6V0E1
ETS1,HMGN1
ETS1,YRDC
ETS1,GTF2E2
ETS1,PARK7
ETS1,PLK1
ETS1,ZBTB48
ETS1,ISCA1
ETS1,MPHOSPH9
ETS1,COPS3
ETS1,TRA2B
ETS1,TUSC3
ETS1,EVI5
ETS1,CHMP6
ETS1,MED13L
ETS1,KIF18B
ETS1,PIGP
ETS1,DDHD2
ETS1,LBR
ETS1,TTK
ETS1,RAD9A
ETS1,MT1X
ETS1,APC
ETS1,FIBP
ETS1,NFKBIL1
ETS1,TALDO1
ETS1,KCTD14
ETS1,PLOD2
ETS1,NAAA
ETS1,CTDSP2
ETS1,CRELD1
ETS1,ARL6IP4
ETS1,ZPR1
ETS1,UNG
ETS1,ABHD10
ETS1,FKBP2
ETS1,TRAM1
ETS1,RBM25
ETS1,STXBP1
ETS1,PSRC1
ETS1,GABRB3
ETS1,NR2F2
ETS1,TFR2
ETS1,RNF141
ETS1,INPP5F
ETS1,GSPT1
ETS1,LINC01278
ETS1,DDX6
ETS1,NINJ1
ETS1,ITGB8
ETS1,MLLT10
ETS1,CCPG1
ETS1,NREP
ETS1,RAP1GAP
ETS1,R3HCC1
ETS1,MOK
ETS1,CAP2
ETS1,KPNB1
ETS1,F2
ETS1,SENP7
ETS1,IRAK1
ETS1,OTUD3
ETS1,ZNF384
ETS1,APOM
ETS1,PLAC8
ETS1,NUDT3
ETS1,GEMIN2
ETS1,CPD
ETS1,TSPYL2
ETS1,PTDSS1
ETS1,ROR1
ETS1,SLC30A1
ETS1,HNRNPH3
ETS1,BMPR1A
ETS1,MATR3
ETS1,MTMR11
ETS1,SNX4
ETS1,EIF4A1
ETS1,NOC4L
ETS1,LARP4B
ETS1,ERBB2
ETS1,RPGR
ETS1,CDKAL1
ETS1,BHLHB9
ETS1,WDR73
ETS1,PLCXD1
ETS1,PPP1R3C
ETS1,EFCAB2
ETS1,GRPEL1
ETS1,ABHD4
ETS1,ADCY6
ETS1,MRPL20
ETS1,HACD3
ETS1,GABARAPL2
ETS1,PRRC2B
ETS1,ATP1B1
ETS1,NUP205
ETS1,TMEM242
ETS1,ACADM
ETS1,REEP5
ETS1,AVPI1
ETS1,NCOR2
ETS1,SPATA7
ETS1,KDM2A
ETS1,FUBP1
ETS1,MGAT4B
ETS1,ABCA1
ETS1,CHPT1
ETS1,RXRB
ETS1,SMARCD2
ETS1,NSL1
ETS1,TRAPPC11
ETS1,ESRRA
ETS1,CCR10
ETS1,SLC25A6
ETS1,NR3C1
ETS1,HSD17B10
ETS1,ARFIP2
ETS1,CD59
ETS1,CHD9
ETS1,STC2
ETS1,TTC12
ETS1,PARPBP
ETS1,SIM2
ETS1,RNF31
ETS1,KRBOX4
ETS1,KIAA0513
ETS1,EMC1
ETS1,INHBE
ETS1,DCAF6
ETS1,UCHL1
ETS1,MAPK3
ETS1,AMDHD2
ETS1,DDX51
ETS1,PACSIN3
ETS1,TCTN3
ETS1,ENY2
ETS1,PTP4A1
ETS1,RCN1
ETS1,RAB11FIP3
ETS1,TTC19
ETS1,KLF3-AS1
ETS1,GPRIN2
ETS1,SERPINB1
ETS1,CPEB3
ETS1,HAVCR1
ETS1,P2RX4
ETS1,HP1BP3
ETS1,ZNF280A
ETS1,OAZ2
ETS1,AKAP12
ETS1,PDCL
ETS1,CDC14B
ETS1,BAG6
ETS1,LRP5
ETS1,COG4
ETS1,NDUFB4
ETS1,TNKS2
ETS1,TRIM9
ETS1,COX7C
ETS1,AHNAK2
ETS1,ZNF34
ETS1,DGAT1
ETS1,POLR2K
ETS1,NOL3
ETS1,SF3B3
ETS1,CGGBP1
ETS1,KIF18A
ETS1,CORO1C
ETS1,SH2D4A
ETS1,CAPZB
ETS1,KIF1B
ETS1,ALOX12B
ETS1,NEO1
ETS1,HCFC2
ETS1,RFX5
ETS1,CDC23
ETS1,LGR4
ETS1,DAD1
ETS1,PKN2
ETS1,UQCRB
ETS1,GALNT11
ETS1,TRRAP
ETS1,ERH
ETS1,CTSH
ETS1,FOXD1
ETS1,NR1D2
ETS1,UBXN2B
ETS1,SRP9
ETS1,BAG3
ETS1,MLEC
ETS1,REEP4
ETS1,TAX1BP1
ETS1,PROS1
ETS1,THRA
ETS1,ZNF219
ETS1,HINT1
ETS1,PNPO
ETS1,SEC63
