TF,Target
HIF1A,SCNM1
HIF1A,KCNJ12
HIF1A,SLC12A4
HIF1A,PEMT
HIF1A,TRAF3
HIF1A,DET1
HIF1A,PIP4K2B
HIF1A,HYI
HIF1A,PHACTR4
HIF1A,GOSR1
HIF1A,FBXO22
HIF1A,MGA
HIF1A,GNPAT
HIF1A,AURKAIP1
HIF1A,ADAM10
HIF1A,ETNK2
HIF1A,SNRNP25
HIF1A,CHRNE
HIF1A,TOM1L2
HIF1A,GOT2
HIF1A,P2RX5
HIF1A,TUBGCP4
HIF1A,NEDD4
HIF1A,NLK
HIF1A,SPATA5L1
HIF1A,GJB3
HIF1A,IRX5
HIF1A,SLC9A5
HIF1A,MAN2A2
HIF1A,TTC39A
HIF1A,TNFRSF1B
HIF1A,CD53
HIF1A,PLA2G5
HIF1A,DBNDD1
HIF1A,MFAP4
HIF1A,SYNGR3
HIF1A,TPSD1
HIF1A,CDH15
HIF1A,KRT33A
HIF1A,KRT33B
SMAD3,AGRN
SMAD3,SHC1
SMAD3,CKS1B
SMAD3,RAB27A
SMAD3,TMEM51
SMAD3,ARL2BP
SMAD3,JUP
SMAD3,IDH3A
SMAD3,PPP1R13B
SMAD3,GSPT1
SMAD3,COPS3
SMAD3,PAFAH1B1
SMAD3,ORC1
SMAD3,PTPN9
SMAD3,GJC1
SMAD3,TAF5L
SMAD3,TSR1
SMAD3,PBX1
SMAD3,CRABP2
SMAD3,KIF23
SMAD3,ZNF362
SMAD3,CAMSAP2
SMAD3,RPRD2
SMAD3,ZFP69B
SMAD3,PDE8A
SMAD3,AIDA
SMAD3,POGZ
SMAD3,OPN3
SMAD3,NXN
SMAD3,UBE2G1
SMAD3,GDE1
SMAD3,STX6
SMAD3,CDKN2C
SMAD3,PKM
SMAD3,ATP8B2
SMAD3,MEIS2
SMAD3,ZNF500
SMAD3,SOX13
SMAD3,PIGL
SMAD3,MIR22HG
SMAD3,GPRC5B
SMAD3,C1orf109
SMAD3,KRT19
SMAD3,CLEC16A
SMAD3,ZFYVE9
SMAD3,YOD1
SMAD3,IRF6
SMAD3,PI4KB
SMAD3,PEX14
SMAD3,DFFA
SMAD3,BFAR
SMAD3,C1orf56
SMAD3,SEZ6L2
SMAD3,NFATC2IP
SMAD3,RGS2
SMAD3,LARP6
SMAD3,RNF167
SMAD3,SETDB1
SMAD3,PHLPP2
SMAD3,SMYD3
SMAD3,PTPRF
SMAD3,S100A4
SMAD3,JUN
SMAD3,ANXA2
SMAD3,SNX27
SMAD3,ATF3
SMAD3,BPNT1
SMAD3,SCARF1
SMAD3,PSEN2
SMAD3,RPL13
SMAD3,IFI16
SMAD3,ZNF688
SMAD3,DENND4A
SMAD3,PIGC
SMAD3,VPS72
SMAD3,FOXJ3
SMAD3,WDR78
SMAD3,RPL22
SMAD3,GOSR2
SMAD3,MEAF6
SMAD3,ZC3H12A
SMAD3,TUFT1
SMAD3,EEF1E1
SMAD3,RPL26
SMAD3,ILF2
SMAD3,VPS45
SMAD3,RPL4
SMAD3,FAF1
SMAD3,ZFYVE21
SMAD3,ANPEP
SMAD3,WDR61
SMAD3,PPOX
SMAD3,RNF19B
SMAD3,CARHSP1
SMAD3,UBB
SMAD3,OVGP1
SMAD3,LUZP1
SMAD3,TRAF5
SMAD3,ADAT1
SMAD3,TOX3
SMAD3,C17orf75
SMAD3,TRIM58
SMAD3,DNAJC17
SMAD3,CTSH
SMAD3,MMP28
SMAD3,FEM1B
SMAD3,SIAH1
SMAD3,DNAJA2
SMAD3,AGL
SMAD3,DPYD
SMAD3,TRIM46
SMAD3,METTL9
SMAD3,DMXL2
SMAD3,HAGH
SMAD3,THAP10
SMAD3,QSOX1
SMAD3,AKAP10
SMAD3,TSC2
SMAD3,FPGT
SMAD3,MYO5A
SMAD3,GLCE
SMAD3,GNAI3
SMAD3,UBE2Q1
SMAD3,DSTYK
SMAD3,HACD3
SMAD3,C1orf115
SMAD3,RPGRIP1L
SMAD3,ADPGK
SMAD3,KIAA0556
SMAD3,NDUFAB1
SMAD3,SCNM1
SMAD3,KLHL20
SMAD3,PSMD7
SMAD3,HSD17B2
SMAD3,PLEKHO1
SMAD3,PNMT
SMAD3,NFATC3
SMAD3,CNIH3
SMAD3,NECAP2
SMAD3,SOCS1
SMAD3,MGRN1
SMAD3,RPS17
SMAD3,ECM1
SMAD3,ECI1
SMAD3,SNRPN
SMAD3,N4BP1
SMAD3,DBF4B
SMAD3,ICE2
SMAD3,FLCN
SMAD3,KNOP1
SMAD3,BTG2
SMAD3,MAPKBP1
SMAD3,WDR73
SMAD3,GABARAPL2
SMAD3,TRMT1L
SMAD3,CACYBP
SMAD3,HEATR1
SMAD3,CHTOP
SMAD3,RSL24D1
SMAD3,GPATCH2
SMAD3,RSL1D1
SMAD3,FBXO28
SMAD3,DNAJA3
SMAD3,SCAMP5
SMAD3,RFWD3
SMAD3,BRD7
SMAD3,ROGDI
SMAD3,HERPUD1
SMAD3,SPG11
SMAD3,MPHOSPH6
SMAD3,GLYR1
SMAD3,PMM2
SMAD3,ZNF174
SMAD3,HLX
SMAD3,CDIP1
SMAD3,SPINT1
SMAD3,HSD11B2
SMAD3,WNT2B
SMAD3,AP4E1
SMAD3,RNF40
